"";"study";"condition_arm1";"condition_arm2";"descr_arm1";"descr_arm2";"multi_arm1";"multi_arm2";".g";".g_se";"primary_calc";"outcome_type";"outcome_domain";"time";"time_weeks";"instrument";"rating";"mean_arm1";"mean_arm2";"sd_arm1";"sd_arm2";"n_arm1";"n_arm2";"bl_mean_arm1";"bl_sd_arm1";"bl_n_arm1";"bl_mean_arm2";"bl_sd_arm2";"bl_n_arm2";"dich";"dich_type";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"change";"mean_change_arm1";"mean_change_arm2";"sd_change_arm1";"sd_change_arm2";"n_change_arm1";"n_change_arm2";"other_statistic";"precalc_g";"precalc_g_se";"rand_arm1";"rand_arm2";"n_drop_study1";"n_drop_study2";"n_drop_treat1";"n_drop_treat2";"def_drop_treat";"year";"comorbid_mental";"comorbid_physical";"format_unguided";"commericial";"program_name";"support_unguided";"initial_screening";"forum_unguided";"n_sessions_planned";"n_sessions_received";"country";"income_level";"age_group";"mean_age";"percent_women";"recruitment";"diagnosis";"target_group";"sg";"ac";"ba";"itt";"rob";"domain.1";"domain.2";"domain.3";"domain.4";"domain.5";"overall";".id";".g_negative";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2";"full_reference"
"1";"Addington, 2019";"other psy";"wl";"positive emtion skills";"wl";"other psy";"wl";0,222790485440084;0,325204008317797;1;"msd";"depression";"post";7;"PHQ-8";"self-report";14,78;15,92;5,05;4,96;26;15;"15.46";"7.39";26;"15.46";"5.62";15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;15;"0";"1";NA;NA;NA;2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;"7,5skills";"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_PHQ-8_post_7_self-report_otherpsy_wl_otherpsy_wl";-0,222790485440084;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
"2";"Addington, 2019";"other psy";"other ctr";"positive emtion skills";"daily emotional report";"other psy";"other ctr";0,273388340897287;0,313348125236536;1;"msd";"depression";"post";7;"PHQ-8";"self-report";14,78;16,18;5,05;4,99;26;17;"15.46";"7.39";26;"17.05";"5.65";17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;17;"0";"1";NA;NA;NA;2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;"7,5skills";"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_PHQ-8_post_7_self-report_otherpsy_otherctr_otherpsy_otherctr";-0,273388340897287;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
"3";"Addington, 2019";"other psy";"wl";"positive emtion skills";"wl";"other psy";"wl";0,320635611118938;0,326239068449731;1;"msd";"depression";"post";7;"CES-D";"self-report";24,63;27,93;10,15;9,99;26;15;"24.03";"11.12";26;"25.42";"10.99";15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;15;"0";"1";NA;NA;NA;2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;"7,5skills";"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_CES-D_post_7_self-report_otherpsy_wl_otherpsy_wl";-0,320635611118938;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
"4";"Addington, 2019";"other psy";"other ctr";"positive emtion skills";"daily emotional report";"other psy";"other ctr";0,213496282497596;0,312786088562453;1;"msd";"depression";"post";7;"CES-D";"self-report";24,63;26,83;10,15;10,06;26;17;"24.03";"11.12";26;"26.41";"11";17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;17;"0";"1";NA;NA;NA;2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;"7,5skills";"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_CES-D_post_7_self-report_otherpsy_otherctr_otherpsy_otherctr";-0,213496282497596;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
"5";"Addington, 2019";"other psy";"wl";"positive emtion skills";"wl";"other psy";"wl";0,277510955548175;0,32573734576593;1;"msd";"depression";"FU1";11;"PHQ-8";"self-report";14,75;16,17;5,05;4,96;26;15;"15.46";"7.39";26;"15.46";"5.62";15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;15;"4";"1";2;NA;"did not complete at least 4 out of 8 skills";2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;NA;"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_PHQ-8_FU1_11_self-report_otherpsy_wl_otherpsy_wl";-0,277510955548175;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
"6";"Addington, 2019";"other psy";"other ctr";"positive emtion skills";"daily emotional report";"other psy";"other ctr";0,183232075324415;0,312554379615407;1;"msd";"depression";"FU1";11;"PHQ-8";"self-report";14,75;15,7;5,05;5,15;26;17;"15.46";"7.39";26;"17.05";"5.65";17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;17;"4";"2";NA;NA;NA;2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;NA;"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_PHQ-8_FU1_11_self-report_otherpsy_otherctr_otherpsy_otherctr";-0,183232075324415;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
"7";"Addington, 2019";"other psy";"wl";"positive emtion skills";"wl";"other psy";"wl";0,435837278074205;0,327928441372868;1;"msd";"depression";"FU1";11;"CES-D";"self-report";25,01;29,51;10,2;9,99;26;15;"24.03";"11.12";26;"25.42";"10.99";15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;15;"4";"1";NA;NA;NA;2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;NA;"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_CES-D_FU1_11_self-report_otherpsy_wl_otherpsy_wl";-0,435837278074205;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
"8";"Addington, 2019";"other psy";"other ctr";"positive emtion skills";"daily emotional report";"other psy";"other ctr";0,199021160597369;0,312670874919951;1;"msd";"depression";"FU1";11;"CES-D";"self-report";25,01;27,09;10,2;10,35;26;17;"24.03";"11.12";26;"26.41";"11";17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;17;"4";"2";NA;NA;NA;2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;NA;"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_CES-D_FU1_11_self-report_otherpsy_otherctr_otherpsy_otherctr";-0,199021160597369;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
"9";"Addington, 2019";"other psy";"wl";"positive emtion skills";"wl";"other psy";"wl";0,329642793206488;0,326352885919488;1;"msd";"depression";"FU2";19;"PHQ-8";"self-report";14,7;16,61;5,76;5,54;26;15;"15.46";"7.39";26;"15.46";"5.62";15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;15;"4";"0";NA;NA;NA;2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;NA;"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_PHQ-8_FU2_19_self-report_otherpsy_wl_otherpsy_wl";-0,329642793206488;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
"10";"Addington, 2019";"other psy";"other ctr";"positive emtion skills";"daily emotional report";"other psy";"other ctr";0,0249085243433925;0,311917545680867;1;"msd";"depression";"FU2";19;"PHQ-8";"self-report";14,7;14,85;5,76;6,14;26;17;"15.46";"7.39";26;"17.05";"5.65";17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;17;"4";"2";NA;NA;NA;2019;"n";"n";"internet";"NI";"MARIGOLD";"pure";"y";"n";8;NA;"us";"high";"adul";42,16;0,655;"com";"cut";"adul";"1";"?";"sr";1;3;"Some concerns";"Low risk";"Low risk";"Low risk";"Some concerns";"Some concerns";"Addington_2019_msd_PHQ-8_FU2_19_self-report_otherpsy_otherctr_otherpsy_otherctr";-0,0249085243433925;NA;NA;NA;NA;NA;NA;"Addington, E. L., Cheung, E. O., Bassett, S. M., Kwok, I., Schuette, S. A., Shiu, E., Yang, D., Cohn, M. A., Leykin, Y., Saslow, L. R., & Moskowitz, J. T. The MARIGOLD study: Feasibility and enhancement of an online intervention to improve emotion regulation in people with elevated depressive symptoms. J Affect Disord, 257, 352-364. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711819/pdf/nihms-1534942.pdf"
